muest,longwgs84,latwgs84
AL525,-2.29476,37.48408
BER,-2.94815,36.8465
LUB,-1.9547,37.21498
LUCAL,-2.42777,37.39961
nIJ,-2.20578,36.96837
ROD,-2.02864,36.91058
CA1,-6.08174,36.31472
CA10,-5.35138,36.76783
CA2,-5.92243,36.22961
CA3,-6.41145,36.70133
CA4,-5.72395,36.4697
CA5,-6.0704,36.6816
CA6,-6.1343,36.68489
CA7,-6.32594,36.77813
CA8,-5.33081,36.68036
SE_1,-5.37237,36.75919
SE4,-5.46455,37.93444
ST,-5.18069,36.86245
CO113,-4.38261,38.02876
CO128,-5.01975,37.81092
CO89,-4.89921,37.92735
CO89B,-5.01709,38.07666
CO96,-5.2172,37.94705
FCO247,-4.67093,37.9322
GR164,-3.6758,37.19986
GR3212,-3.4642,37.19459
GR323,-3.57489,37.1932
GR324,-3.56473,36.92485
GR325,-3.5175,36.74816
GR326,-3.69047,36.77264
GR41,-3.06217,36.76336
H146,-6.86867,38.13715
H2211,-6.84518,38.06991
J12,-3.98525,38.02848
JM,-4.05811,38.0443
AHG,-4.71777,36.65102
CBMA,-5.045,36.8741
COI,-4.75957,36.66889
COM,-3.97842,36.83404
SE2,-5.9384,36.98264
SE3,-5.54247,37.26033
SE5,-6.03965,36.85259
SE6,-5.71933,37.38954
SE7,-5.78114,37.18242
SE9,-5.6458,37.46622
AFS,-1.19009,40.23443
OBB,-0.89418,40.84735
AC1,-5.31871,43.19836
AC3,-5.28648,43.15502
AC4,-5.21149,43.10225
GIU,-5.73537,43.29725
TCM,-3.87072,43.34561
ALMD,-4.86597,38.79767
DJ,-3.31659,38.71414
AZH,-3.26138,40.57081
CZX,-3.11069,40.53344
LCB,-3.11069,40.53344
YEB,-3.11069,40.53344
DMG,-5.59829,40.32705
PMA,-5.60557,40.4397
B1,-3.34576,42.1363
B21,-3.31328,42.1141
B41,-3.70976,42.17155
B9,-3.11198,41.99514
FRC,-6.0634,40.52079
JDS,-6.55662,40.63048
ACA,1.78942,41.64294
AnGL,2.6423,41.95926
BOA,2.85697,42.33195
OGA,2.2767,42.26973
FRA,0.73291,41.04395
PER,0.71182,40.87594
ASS,-6.33245,40.29943
PB,-7.84521,43.66658
MFT,-7.56057,42.5253
CAC,-7.33222,42.06869
CVC,-7.2717,42.17946
ECS,-7.41054,42.12198
SVC,-7.20664,42.13843
SXE,-8.11904,41.93247
SXL,-8.08555,41.9056
SXM,-7.98542,41.95434
BAR,-8.46667,42.19704
BOR,-8.59495,42.43546
BUR,-8.55524,42.18557
MA,-8.66323,42.12086
PIC,-8.53973,42.22953
RO,-8.67255,42.03578
DZ,-3.45938,40.54654
AGU,-1.60133,37.4166
ALG,-1.10493,37.94341
CALMU,-1.70916,38.2366
CAn,-2.2885,38.02457
CARR,-1.29827,37.86166
COR,-1.15544,37.92552
EESP,-1.06885,38.03902
ESCO,-0.82297,37.59126
HIG,-0.78051,37.84557
LORMU,-1.69268,37.66978
LUM,-1.79434,37.5528
LURR,-0.86474,37.69044
MAZ,-1.30849,37.58761
MOR,-1.8898,38.19114
MUL,-1.3795,38.0836
POZ,-0.98967,37.71486
RIC,-1.26123,38.08303
SJV,-0.81091,37.90091
TOT,-1.50849,37.86474
UnI,-0.77279,37.60846
VEO,-1.42365,38.2437
YEC,-1.43847,38.07155
YLA,-1.11478,38.62121
EVOR,-7.88312,38.70005
PORT,-8.43974,41.23287
AGOA,-0.63942,38.44074
BEn,-0.83745,38.08008
CALA,-0.23618,38.65738
ELX,-0.69279,38.26632
GUA,-0.19948,38.67791
PnS,-1.04046,38.40646
TOR,-0.41746,38.60882
XAB,0.10622,38.76471
XAL,-0.01257,38.74377
BnC,0.40954,40.41885
BORR,-0.07104,40.04538
CULL,-0.16449,40.34157
FAB,-0.1705,40.21877
HER,-0.44108,39.91402
AYO,-1.05745,39.0609
CAR,-0.44642,39.12525
EnG,-0.68535,38.98091
GES,-0.83414,39.60542
IVIA,-0.3997,39.54426
LOR,-0.5706,39.49007
MOn,-0.61467,39.33986